"filename", "language", "JSON", "CSS", "JavaScript", "C#", "XML", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\Forms\SignUpForm.js", "JavaScript", 0, 0, 197, 0, 0, 0, 0, 0, 21, 31, 249
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\LeftMenu.js", "JavaScript", 0, 0, 527, 0, 0, 0, 0, 0, 28, 75, 630
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\MainScreen.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 1, 8, 30
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\ProgressBar.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 1, 7, 100
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\ProjectDescription.js", "JavaScript", 0, 0, 304, 0, 0, 0, 0, 0, 0, 28, 332
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\ProjectMenu.js", "JavaScript", 0, 0, 591, 0, 0, 0, 0, 0, 10, 67, 668
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\TaskList.js", "JavaScript", 0, 0, 841, 0, 0, 0, 0, 0, 23, 100, 964
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\TeamsMenu.js", "JavaScript", 0, 0, 860, 0, 0, 0, 0, 0, 38, 104, 1002
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\MainPage\UpProjectMenu.js", "JavaScript", 0, 0, 156, 0, 0, 0, 0, 0, 6, 15, 177
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\ProfileView\EditAccountForm.js", "JavaScript", 0, 0, 874, 0, 0, 0, 0, 0, 31, 63, 968
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\ProfileView\LogOutForm.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\ProfileView\MyAccountForm.js", "JavaScript", 0, 0, 293, 0, 0, 0, 0, 0, 0, 27, 320
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\ProfileView\ProfileForm.js", "JavaScript", 0, 0, 472, 0, 0, 0, 0, 0, 28, 40, 540
